MOF name,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,O-to-M,MP,TDU,DU,U_CH4 (mol/kg),D_CH4 (cm2/s)
ADOGEH_clean,12.71447,2.51643120940193,5.05258,1.01991,0.663783,0.67699891953,1958.14,31.5789473684211,31.5789473684211,21.0526315789474,10.5263157894737,0,0,0,5.26315789473684,8,16.6666666666667,145,0.503472222222222,1.4724390333,5.63995843798776E-05
ADUROI_clean,25.68553,1.49995153069567,17.12424,0.402567,2.07617,0.83579752839,3194.1,47.7272727272727,29.5454545454545,13.6363636363636,6.81818181818182,0,0,0,2.27272727272727,12,4.76190476190476,697,0.691468253968254,0.4472606747,0.000915975286393601
ADUWIH_clean,9.28386,1.41708464476187,6.55138,0.722123,0.982935,0.709799971005,2844.14,48.6486486486487,32.4324324324324,16.2162162162162,0,0,0,0,2.7027027027027,12,5.55555555555556,145,0.671296296296296,1.0476484138,0.000146279237621157
ADUWON_clean,16.37935,2.73114799474425,5.99724,0.521247,1.50485,0.78439854795,4587.82,49.3150684931507,32.8767123287671,16.4383561643836,0,0,0,0,1.36986301369863,24,2.77777777777778,289,0.668981481481482,1.2446095962,0.000408196742735587
AFEJOK_ion_b,5.99825,1.16995878593065,5.12689,1.10129,0.52738,0.5807983202,1489.79,37.3831775700935,29.9065420560748,2.80373831775701,8.41121495327103,16.8224299065421,0,2.80373831775701,1.86915887850467,3,5,25,0.625,1.4772870388,5.48155412726285E-05
AFIPAH_clean,4.37538,1.1202578801697,3.90569,1.83885,0.273649,0.50319946365,457.509,35.7142857142857,14.2857142857143,42.8571428571429,0,0,0,0,7.14285714285714,12,20,17,0.85,0.6047403826,1.67210094728686E-05
AFITEP_clean,4.64022,1.13176925684822,4.09997,1.06928,0.492105,0.5261980344,1422.49,53.0612244897959,32.6530612244898,8.16326530612245,4.08163265306122,0,0,0,2.04081632653061,8,3.84615384615385,37,0.711538461538462,3.2093361488,1.89548236931114E-05
AFITUF_clean,7.14066,1.40419331241003,5.08524,1.32285,0.402312,0.5321984292,1051.86,53.8461538461538,25.6410256410256,10.2564102564103,2.56410256410256,5.12820512820513,0,0,2.56410256410256,8,4.76190476190476,193,0.765873015873016,0.899319267,6.88993237852748E-05
AFIXAO_clean,6.3306,1.40027471980571,4.52097,1.12223,0.508096,0.57020057408,1176.44,35.2941176470588,35.2941176470588,0,23.5294117647059,0,0,0,5.88235294117647,0,16.6666666666667,61,0.508333333333333,1.0150365644,1.26340534210602E-05
AFIXES_clean,6.43864,1.35604557612519,4.7481,1.12574,0.511486,0.57580024964,1159.23,35.2941176470588,35.2941176470588,0,23.5294117647059,0,0,0,5.88235294117647,0,16.6666666666667,61,0.508333333333333,1.0116796573,1.37812337630552E-05
AFOTOF_clean,8.7931,1.29828270733087,6.77287,1.07439,0.571859,0.61439959101,1533.66,52.5,30,15,0,0,0,0,2.5,12,4.76190476190476,31,0.738095238095238,1.6888194658,0.000040605819665657
AFOTUL_clean,8.80212,1.29175471963934,6.81408,1.05969,0.579417,0.61400240073,1588.47,52.5,30,15,0,0,0,0,2.5,12,4.76190476190476,31,0.738095238095238,1.6557282354,4.48709981655875E-05
AFOVAT_clean,8.32882,1.27205332078918,6.54754,1.04077,0.586104,0.60999946008,1605.18,52.5,30,15,0,0,0,0,2.5,12,4.76190476190476,31,0.738095238095238,1.6887359741,5.35856257721598E-05
AFOVEX_clean,8.81515,1.28491176311965,6.86051,1.02206,0.605638,0.61899837428,1637.43,52.5,30,15,0,0,0,0,2.5,12,4.76190476190476,31,0.738095238095238,1.6657536283,4.36499890271434E-05
AFOVIB_clean,8.79334,1.30442148110568,6.74118,1.0948,0.557543,0.6103980764,1513.94,52.5,30,15,0,0,0,0,2.5,12,4.76190476190476,31,0.738095238095238,1.7266018683,4.55012756863792E-05
AFOYAW_clean,5.94533,1.40638313474744,4.22739,0.978122,0.624871,0.611200072262,1850.89,39.0625,32.8125,1.5625,23.4375,0,0,0,3.125,1,8,30,0.6,1.632794825,2.61031376950038E-05
AFOYEB_clean,5.92566,1.01917381298825,5.81418,1.68224,0.240988,0.40539965312,348.21,31.5789473684211,21.0526315789474,42.1052631578947,0,0,0,0,5.26315789473684,16,16.6666666666667,33,0.6875,0.4537027874,0.000264845840754433
AFOYIE_clean,9.08566,1.05410770492697,8.61929,0.761887,0.931897,0.710000209639,2697.6,40,32,0,24,0,0,0,4,0,10,25,0.625,0.8311066412,0.000110958200817961
AFOYOK_clean,7.73482,1.35274972236068,5.71785,0.979448,0.600338,0.587999853424,1668.18,58.0645161290323,19.3548387096774,0,19.3548387096774,0,0,0,3.2258064516129,0,5.55555555555556,61,0.847222222222222,0.880805624,6.24475542708352E-05
AFUKET_clean,5.96671,1.2497559851706,4.7743,0.9597,0.620819,0.5957999943,1731.99,45.7142857142857,35.7142857142857,13.5714285714286,2.85714285714286,0,0,0,2.14285714285714,12.6666666666667,4.6875,157,0.61328125,2.0866573052,7.24965186688912E-05
AFUKIX_clean,8.69504,1.58830341844433,5.47442,0.784292,0.813728,0.638200360576,2572.85,47.6363636363636,34.1818181818182,13.8181818181818,2.18181818181818,0,0,0,2.18181818181818,12.6666666666667,4.58015267175572,169,0.645038167938931,1.1882580609,0.000128121498881139
AFUPEX_clean,5.43312,1.18396743453238,4.58891,1.38641,0.443303,0.61459971223,1590.39,47.3684210526316,15.7894736842105,31.5789473684211,0,0,0,0,5.26315789473684,12,11.1111111111111,31,0.861111111111111,0.9986748864,0.000168105112421824
AGARUW_clean,6.77693,1.08399140731594,6.25183,1.77195,0.285336,0.5056011252,759.804,34.375,12.5,34.375,12.5,0,0,0,6.25,11,18.1818181818182,37,0.840909090909091,0.4449119601,0.000102558595191547
AGIREP_clean,10.92956,1.59411568232502,6.85619,0.99837,0.690726,0.68960011662,2253.69,45,15,31.6666666666667,0,0,0,0,8.33333333333333,7.6,18.5185185185185,181,0.837962962962963,0.8673244272,0.000313909935985286
AGOFEJ_clean,12.6138,1.44726863012143,8.71559,0.583675,1.31409,0.76700148075,3357.77,44.2477876106195,38.9380530973451,7.07964601769912,7.07964601769912,0,0,0,2.65486725663717,5.33333333333333,6,225,0.5625,0.8623483496,0.000227125204862114
AGONAM_clean,5.63222,1.14772511915945,4.90729,1.43768,0.395082,0.56800148976,953.171,45.4545454545455,13.6363636363636,36.3636363636364,0,0,0,0,4.54545454545455,16,10,35,0.875,1.0292697704,7.73014805490084E-05
AGONEQ_clean,6.16099,1.04315530865494,5.90611,1.08253,0.623722,0.67519777666,2090.61,47.6190476190476,9.52380952380952,38.0952380952381,0,0,0,0,4.76190476190476,16,10,37,0.925,0.8218782699,0.000416009367738468
AGOVOJ_clean,13.91201,1.511040077507,9.20691,0.616035,1.2535,0.7721998725,3431.85,73.4375,0,17.1875,4.6875,0,0,0,4.6875,7.33333333333333,6.38297872340426,377,1.00265957446809,0.5022028453,0.000281580053185489
AGUVOO_charged,6.0722,1.47677057062462,4.11181,1.16455,0.499765,0.58200133075,1302.94,25.7142857142857,25.7142857142857,5.71428571428571,34.2857142857143,4.28571428571429,0,0,4.28571428571429,2.66666666666667,16.6666666666667,73,0.506944444444444,1.0613503588,8.61644178695199E-06
AHAMAY_clean,4.44036,1.13613300889643,3.90831,2.24993,0.178228,0.40100052404,222.279,16,18,48,0,0,0,8,10,9.6,62.5,8,0.5,0.5053943792,9.92938244895331E-05
AHEQAH_clean,9.26829,1.49086255957714,6.21673,0.759287,0.941146,0.714599922902,3181.91,60,27.2727272727273,10.9090909090909,0,0,0,0,1.81818181818182,12,3.03030303030303,103,0.78030303030303,1.1924981581,0.000168208480777666
AJAKON_clean,5.2765,1.22055595265358,4.32303,1.36723,0.367459,0.50240096857,780.005,50.9090909090909,29.0909090909091,14.5454545454545,2.42424242424242,0,0,0,3.03030303030303,9.6,5.95238095238095,121,0.720238095238095,1.206912587,3.20420403517594E-05
AJAYIT_clean,7.12611,1.45638574210966,4.89301,1.98392,0.217448,0.43139943616,423.782,26.9662921348315,33.7078651685393,26.9662921348315,6.74157303370786,0,0,0,5.61797752808989,9.6,20.8333333333333,19,0.395833333333333,0.7080327985,2.87487334741341E-05
AJIGIL_clean,6.71352,1.21039346910517,5.54656,1.08988,0.443902,0.48379991176,914.419,33.695652173913,47.2826086956522,7.60869565217391,8.69565217391304,0.543478260869565,0,0.543478260869565,1.6304347826087,9.33333333333333,4.83870967741935,75,0.30241935483871,0.7382436993,3.10440993098293E-05
AJOVEB_clean,5.15455,1.06141069781234,4.85632,1.95651,0.211499,0.41379990849,395.845,46.3414634146341,14.6341463414634,19.5121951219512,0,14.6341463414634,0,0,4.8780487804878,8,10.5263157894737,97,0.850877192982456,0.4633858411,4.95385296344627E-05
AKEDIF_clean,5.94406,1.11885660935659,5.31262,0.925851,0.629475,0.582800058225,1808.02,50.9090909090909,36.3636363636364,7.27272727272727,3.63636363636364,0,0,0,1.81818181818182,8,3.57142857142857,73,0.651785714285714,2.7751392176,7.87856151470072E-05
AKOBAF_clean,4.84557,1.27500236814685,3.80044,1.15061,0.432814,0.49800011654,867.108,44.9438202247191,40.4494382022472,4.49438202247191,8.98876404494382,0,0,0,1.12359550561798,8,2.5,89,0.55625,2.5052454214,7.41123931290708E-06
AKUKUO_clean,5.04792,1.15122102516854,4.38484,1.30477,0.383515,0.50039886655,814.426,35.0515463917526,35.0515463917526,14.4329896907216,8.24742268041237,0,0,4.12371134020619,3.09278350515464,9.33333333333333,8.82352941176471,18,0.529411764705882,1.6473557388,4.10896442542845E-05
ALAHUS_clean,7.1812,1.31652568629392,5.45466,1.36604,0.41902,0.5723980808,1122.76,50.5882352941176,22.3529411764706,21.1764705882353,2.35294117647059,0,0,0,3.52941176470588,12,6.97674418604651,269,0.781976744186046,0.7103281865,0.000027044075891728
ALAMUW_clean,11.92678,1.99354805279899,5.98269,0.64997,1.17082,0.7609978754,3766.22,52,16,24,4,0,0,0,4,12,7.69230769230769,67,0.858974358974359,0.9763940369,0.00017294723510607
ALANAD_clean,8.58065,1.47702860880642,5.8094,0.697286,1.08162,0.75419848332,4035.37,52,16,24,4,0,0,0,4,12,7.69230769230769,177,0.850961538461538,0.873840234,0.000372131896678513
ALEJAE_clean,19.86541,1.36357527343015,14.56862,0.274675,3.25548,0.894198969,5195.22,44.1176470588235,30.8823529411765,13.9705882352941,8.82352941176471,0,0,0,2.20588235294118,12.6666666666667,5,118,0.655555555555556,0.5681514619,0.000647956493628629
ALEJEI_clean,18.06508,2.53074352957658,7.13825,0.600782,1.3033,0.7829991806,3701.13,44,24,20,8,0,0,0,4,10,9.09090909090909,385,0.729166666666667,0.8116648298,0.000412358819739474
ALEJIM_clean,18.20917,2.56112233186682,7.10984,0.592075,1.32247,0.78300142525,3730.3,44,24,20,8,0,0,0,4,10,9.09090909090909,385,0.729166666666667,0.8202118466,0.000376558764715676
ALEQIT_clean,5.78407,1.45965800404783,3.96262,1.90553,0.227759,0.43400160727,355.702,48,24,24,0,0,0,0,4,12,8.33333333333333,55,0.763888888888889,0.6433898691,2.72625378253973E-05
ALIXAU_clean_h,6.17139,1.57669923252225,3.91412,1.43262,0.329886,0.47260128132,467.985,38.2470119521912,19.5219123505976,18.3266932270916,19.1235059760956,0,0,0,4.7808764940239,7.66666666666667,12.5,72.5,0.755208333333333,0.7007302653,4.13917519635593E-05
ALIXOJ_clean,7.8603,1.56587167513985,5.01976,0.979833,0.65256,0.63939982248,2049.12,44.7368421052632,26.3157894736842,23.6842105263158,0,0,0,0,5.26315789473684,9,11.7647058823529,49,0.720588235294118,0.8251457104,0.000228283518852693
ALIXUP_clean,6.38387,1.10886327041425,5.75713,1.33865,0.410264,0.5491999036,1021.37,42.5,25,25,0,0,0,0,7.5,6.66666666666667,17.6470588235294,49,0.720588235294118,0.1540747896,7.65609047611461E-05
ALOLES_ion_b,5.85254,1.3745842806411,4.25768,2.20818,0.191923,0.42380053014,227.343,26.865671641791,29.8507462686567,34.3283582089552,2.98507462686567,0,0,0,5.97014925373134,11.5,22.2222222222222,33,0.458333333333333,0.1785318267,6.57427135383125E-05
ALOLET_charged,9.3993,1.80266622683449,5.21411,0.901246,0.715232,0.644599979072,1879.08,49.6350364963504,27.7372262773723,17.5182481751825,2.91970802919708,0,0,0,2.18978102189781,16,4.41176470588235,295,0.723039215686274,0.8764137926,0.0001467727836541
ALOLIX_charged,9.32283,1.6650884086444,5.599,0.940569,0.701703,0.660000089007,1979.4,51.5625,24.21875,18.75,2.34375,0,0,0,3.125,12,6.06060606060606,304,0.767676767676768,0.7840721688,0.000252296080188116
ALOLIY_clean,6.86569,1.3398768959353,5.12412,1.19169,0.450621,0.53700053949,832.898,45.7142857142857,22.8571428571429,25.7142857142857,0,0,0,0,5.71428571428571,9,12.5,97,0.7578125,0.1357939314,0.000271363788193236
ALOLOD_charged,7.87306,1.56615164879322,5.02701,0.898447,0.70544,0.63380045168,2004.72,43.3862433862434,38.0952380952381,14.2857142857143,2.64550264550265,0,0,0,1.58730158730159,18,3.65853658536585,277,0.563008130081301,1.0669719819,0.000124804582142067
ALONEV_clean,5.59976,1.1568389673117,4.84057,1.49156,0.382821,0.57100049076,1107.49,31.7460317460317,22.2222222222222,3.17460317460317,12.6984126984127,19.047619047619,0,0,11.1111111111111,0.571428571428571,35,209,0.653125,0.1935329041,0.000027357644549332
ALUJEX_clean,5.99288,1.35526955546359,4.42191,1.43356,0.374173,0.53639944588,914.712,46.1538461538462,25.6410256410256,24.3589743589744,0,0,0,0,3.84615384615385,12.6666666666667,8.33333333333333,105,0.729166666666667,1.2491312991,0.000052350270459925
ALUJIB_clean,6.08943,1.3766494776607,4.42337,1.4324,0.378664,0.5423983136,921.959,47.0588235294118,24.8366013071895,24.1830065359477,0,0,0,0,3.92156862745098,12.3333333333333,8.33333333333333,107,0.743055555555556,1.2102105858,5.99661778618568E-05
ALUKIC_clean,8.54387,1.26138199019107,6.77342,0.56692,1.39949,0.7933988708,5085.74,48.8372093023256,27.906976744186,13.953488372093,6.97674418604651,0,0,0,2.32558139534884,12,4.76190476190476,61,0.726190476190476,0.6907510776,0.000419875151388266
ALUKOI_clean,8.54787,1.26295143295751,6.76817,0.579939,1.3667,0.7926026313,4979.11,48.8372093023256,27.906976744186,13.953488372093,6.97674418604651,0,0,0,2.32558139534884,12,4.76190476190476,61,0.726190476190476,0.6800434793,0.000436028283361685
ALUKUO_clean,8.54799,1.260180004865,6.78315,0.582411,1.36021,0.79220126631,4970.58,48.8372093023256,27.906976744186,13.953488372093,6.97674418604651,0,0,0,2.32558139534884,12,4.76190476190476,61,0.726190476190476,0.6789004205,0.000589219761097589
